,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,same_count_pos,same_count_neg,sibling_count_pos,sibling_count_neg
95,95,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_3200.json,False,3200,0.05,0.9,112958,75159,596,106
96,96,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.2_1600.json,False,1600,0.2,0.9,112159,74443,465,74
97,97,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_1600.json,False,1600,0,0.8,107534,71185,1837,628
98,98,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_6400.json,False,6400,0.05,0.7,104426,68873,7873,3262
99,99,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_1600.json,False,1600,0.1,0.9,112066,74340,473,76
100,100,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_1600.json,False,1600,0.005,0.7,104117,69101,4929,1990
101,101,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_3200.json,False,3200,0.05,0.7,105813,70013,6701,2694
102,102,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.05_800.json,False,800,0.05,0.8,110087,73241,1087,388
103,103,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_51200.json,False,51200,0.05,0.9,96054,62541,1407,300
104,104,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.005_12800.json,False,12800,0.005,0.7,99837,65330,8899,3683
105,105,pam250,hf_uniref50_mutbpe_0.8_3_12_0.05_800.json,False,800,0.05,0.8,107581,71904,4101,1890
106,106,pam250,hf_uniref50_mutbpe_0.9_3_12_0_3200.json,False,3200,0,0.9,108471,72546,3343,1554
107,107,pam250,hf_uniref50_mutbpe_0.9_3_12_0.005_3200.json,False,3200,0.005,0.9,108142,72394,3385,1567
108,108,pam250,hf_uniref50_mutbpe_0.8_3_12_0.2_51200.json,False,51200,0.2,0.8,95132,61404,13206,6558
109,109,pam250,hf_uniref50_mutbpe_0.9_3_12_0.1_1600.json,False,1600,0.1,0.9,107610,71989,2603,1211
110,110,pam250,hf_uniref50_mutbpe_0.9_3_12_0.005_6400.json,False,6400,0.005,0.9,105659,70377,4088,1980
111,111,pam250,hf_uniref50_mutbpe_0.9_3_12_0.05_25600.json,False,25600,0.05,0.9,94994,62551,6083,2929
112,112,pam250,hf_uniref50_mutbpe_0.9_3_12_0_6400.json,False,6400,0,0.9,105746,70446,4076,1969
113,113,pam250,hf_uniref50_mutbpe_0.9_3_12_0.2_1600.json,False,1600,0.2,0.9,107886,72038,2523,1177
114,114,pam250,hf_uniref50_mutbpe_0.8_3_12_0_3200.json,False,3200,0,0.8,105346,69196,8192,4074
115,115,pam250,hf_uniref50_mutbpe_0.8_3_12_0.005_51200.json,False,51200,0.005,0.8,93707,60772,14991,7487
116,116,pam250,hf_uniref50_mutbpe_0.8_3_12_0_6400.json,False,6400,0,0.8,105466,69073,9816,4957
117,117,pam250,hf_uniref50_mutbpe_0.9_3_12_0.1_51200.json,False,51200,0.1,0.9,94373,61442,6769,3241
118,118,pam250,hf_uniref50_mutbpe_0.8_3_12_0_800.json,False,800,0,0.8,107495,71916,3928,1788
119,119,pam250,hf_uniref50_mutbpe_0.8_3_12_0.005_800.json,False,800,0.005,0.8,107400,71825,3970,1809
120,120,pam250,hf_uniref50_mutbpe_0.9_3_12_0_51200.json,False,51200,0,0.9,93659,61189,6736,3298
121,121,pam250,hf_uniref50_mutbpe_0.8_3_12_0.05_51200.json,False,51200,0.05,0.8,94134,61140,15070,7513
122,122,pam250,hf_uniref50_mutbpe_0.9_3_12_0_800.json,False,800,0,0.9,110789,74189,1568,702
123,123,pam250,hf_uniref50_mutbpe_0.8_3_12_0_25600.json,False,25600,0,0.8,96096,62944,13140,6628
124,124,pam250,hf_uniref50_mutbpe_0.9_3_12_0.005_25600.json,False,25600,0.005,0.9,95045,62591,5972,2902
125,125,pam250,hf_uniref50_mutbpe_0.8_3_12_0.1_800.json,False,800,0.1,0.8,107901,71938,4121,1909
126,126,pam250,hf_uniref50_mutbpe_0.8_3_12_0.05_25600.json,False,25600,0.05,0.8,94465,62118,13745,6904
127,127,pam250,hf_uniref50_mutbpe_0.8_3_12_0.005_6400.json,False,6400,0.005,0.8,104701,68761,9953,5012
128,128,pam250,hf_uniref50_mutbpe_0.8_3_12_0.005_3200.json,False,3200,0.005,0.8,105516,69424,8292,4138
129,129,pam250,hf_uniref50_mutbpe_0.8_3_12_0_51200.json,False,51200,0,0.8,93739,60766,14935,7429
130,130,pam250,hf_uniref50_mutbpe_0.8_3_12_0.05_6400.json,False,6400,0.05,0.8,104860,68899,9956,5119
131,131,pam250,hf_uniref50_mutbpe_0.8_3_12_0.05_3200.json,False,3200,0.05,0.8,106123,69740,8401,4221
