,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,p_ratio,m_ratio,ulength_mean,ulength_std,util10,util30,util50,used_ulength_mean,used_ulength_std,used_p_ratio,used_m_ratio
60,60,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_25600.json,False,25600,0.005,0.8,0.1491015625,0.8015625,3.9463671875,1.0320721594158986,0.868515625,0.7145703125,0.5835546875,2.737196804180595,0.857560986940806,0.196376743461016,0.2708303538511405
61,61,blosum62,hf_uniref50_bpe_1600.json,True,1600,,,0.0,0.0,2.77125,0.5040657089103682,0.9975,0.996875,0.996875,2.1253045319424975,0.5844836090530074,0.0,0.0
62,62,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_800.json,False,800,0.1,0.8,0.14,0.3525,2.55875,0.6016651383230889,0.995,0.99375,0.99375,1.9005769440733713,0.5659591465783983,0.05016809746586316,0.03754891156493557
63,63,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_6400.json,False,6400,0.2,0.8,0.1996875,0.6290625,3.4040625,0.668900894589258,0.999375,0.9990625,0.99671875,2.427756687161574,0.697069901792053,0.1445205320870405,0.158226732055197
64,64,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_6400.json,False,6400,0.1,0.8,0.17984375,0.6628125,3.39890625,0.698332837516202,0.999375,0.99578125,0.9646875,2.4126099063348097,0.6908571800766755,0.1420203791795812,0.16493659694482415
65,65,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_3200.json,False,3200,0.005,0.9,0.135,0.1659375,3.0946875,0.7796067667041128,0.9940625,0.988125,0.9834375,2.2885893398444996,0.6190432410995639,0.05130781034797535,0.035223705830724504
66,66,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_25600.json,False,25600,0.05,0.9,0.2148046875,0.3077734375,3.9358984375,1.446330232312628,0.94921875,0.8539453125,0.6728125,2.8110468348014988,0.918616095998121,0.11879758705285307,0.07960898557143596
67,67,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_6400.json,False,6400,0.005,0.9,0.161875,0.21546875,3.45328125,0.8109300892107997,0.99,0.974375,0.95921875,2.44263255396994,0.7013629394499442,0.06868484911380443,0.04659112236719211
68,68,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_3200.json,False,3200,0.1,0.8,0.19,0.560625,3.036875,0.6072523943629359,0.99875,0.9984375,0.9984375,2.25738637146246,0.6178445507669311,0.11809725924319912,0.11820938922827737
69,69,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.2_51200.json,False,51200,0.2,0.7,0.09589362076035382,0.8886220295628063,4.097358092671783,1.2468860890085767,0.9156854704860095,0.5269169937320602,0.3317126510846855,3.0131530528892183,0.9659720522098153,0.16012949860148373,0.5359098227347618
70,70,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_51200.json,False,51200,0.005,0.9,0.21749575203609303,0.3544071404855374,4.277240678892991,1.8836341234428517,0.8278744555770395,0.532391945469815,0.3338020741782387,3.013784312304563,1.0642805435196334,0.14662542206743162,0.09497518404237756
